Cours;Enseignant;Note;MNOMA
O1;P2, P5;19.00;689531
O1;P2, P5;18.50;661884
O1;P2, P5;15.50;41664
O1;P2, P5;10.00;611165
O1;P2, P5;9.00;460762
O1;P2, P5;18.50;578360
O1;P2, P5;13.00;979465
O1;P2, P5;18.00;102924
O1;P2, P5;16.00;488673
O1;P2, P5;14.00;113398
O1;P2, P5;12.50;845569
O1;P2, P5;16.50;854518
O1;P2, P5;15.00;454138
O1;P2, P5;15.50;132904
O1;P2, P5;12.00;702507
O1;P2, P5;15.50;893297
O1;P2, P5;10.50;569411
O1;P2, P5;12.00;780743
O1;P2, P5;14.00;371394
O1;P2, P5;8.50;437745
O1;P2, P5;16.50;783726
O1;P2, P5;16.00;221783
O1;P2, P5;13.50;349713
O1;P2, P5;17.50;782126
O1;P2, P5;13.50;309015
O1;P2, P5;9.50;695158
O1;P2, P5;10.00;801210
O1;P2, P5;11.00;128652
O1;P2, P5;13.00;803724
O1;P2, P5;10.50;142503
O1;P2, P5;15.00;646047
O1;P2, P5;16.50;288453
O1;P2, P5;12.50;78938
O1;P2, P5;14.50;602224
O1;P2, P5;16.50;458118
O1;P2, P5;11.50;948374
O1;P2, P5;12.50;457704
O1;P2, P5;10.00;749313
O1;P2, P5;13.50;869772
O1;P2, P5;11.00;875344
O1;P2, P5;12.50;324588
O1;P2, P5;4.00;547194
O1;P2, P5;;433840
O2;P6;17.00;689531
O2;P6;18.00;661884
O2;P6;14.00;41664
O2;P6;10.00;611165
O2;P6;11.00;979465
O2;P6;16.00;102924
O2;P6;11.00;488673
O2;P6;15.00;845569
O2;P6;;8193
O2;P6;14.00;854518
O2;P6;15.00;454138
O2;P6;12.00;702507
O2;P6;13.00;893297
O2;P6;11.00;569411
O2;P6;10.00;371394
O2;P6;15.00;221783
O2;P6;10.00;782126
O2;P6;13.00;309015
O2;P6;11.00;142503
O2;P6;15.00;646047
O2;P6;14.00;78938
O2;P6;12.00;458118
O2;P6;16.00;948374
O2;P6;11.00;749313
O2;P6;18.00;869772
O2;P6;13.00;875344
O2;P6;1.00;547194
O3;P3;14.00;611165
O3;P3;15.00;460762
O3;P3;17.50;578360
O3;P3;14.00;979465
O3;P3;12.50;488673
O3;P3;13.50;845569
O3;P3;9.00;854518
O3;P3;15.50;780743
O3;P3;17.00;371394
O3;P3;13.50;437745
O3;P3;14.00;783726
O3;P3;13.50;221783
O3;P3;14.00;349713
O3;P3;15.00;782126
O3;P3;16.00;309015
O3;P3;13.50;695158
O3;P3;13.00;128652
O3;P3;12.50;142503
O3;P3;12.50;646047
O3;P3;15.00;288453
O3;P3;12.00;78938
O3;P3;12.00;602224
O3;P3;15.00;458118
O3;P3;13.00;749313
O3;P3;14.00;869772
O3;P3;11.00;875344
O3;P3;16.00;324588
O3;P3;10.00;547194
O3;P3;;433840
O4;P1;18.00;689531
O4;P1;18.00;661884
O4;P1;17.50;41664
O4;P1;12.00;611165
O4;P1;13.50;460762
O4;P1;18.00;578360
O4;P1;14.50;979465
O4;P1;15.00;102924
O4;P1;18.50;488673
O4;P1;12.50;113398
O4;P1;17.00;845569
O4;P1;14.50;8193
O4;P1;16.50;854518
O4;P1;11.00;454138
O4;P1;16.00;132904
O4;P1;13.00;702507
O4;P1;14.00;893297
O4;P1;12.00;569411
O4;P1;17.00;780743
O4;P1;13.50;371394
O4;P1;15.00;437745
O4;P1;14.50;783726
O4;P1;13.50;221783
O4;P1;17.00;349713
O4;P1;17.50;782126
O4;P1;12.50;695158
O4;P1;13.50;801210
O4;P1;13.50;128652
O4;P1;14.50;803724
O4;P1;17.50;142503
O4;P1;17.00;646047
O4;P1;16.00;288453
O4;P1;15.50;78938
O4;P1;16.50;602224
O4;P1;17.00;458118
O4;P1;16.50;948374
O4;P1;15.00;457704
O4;P1;17.00;749313
O4;P1;18.00;869772
O4;P1;17.50;875344
O4;P1;13.50;324588
O4;P1;10.50;547194
O4;P1;14.00;433840
O5;P2, P7;18.00;689531
O5;P2, P7;18.00;661884
O5;P2, P7;18.00;41664
O5;P2, P7;12.50;611165
O5;P2, P7;14.00;102924
O5;P2, P7;14.00;113398
O5;P2, P7;10.00;845569
O5;P2, P7;;8193
O5;P2, P7;11.00;454138
O5;P2, P7;12.50;132904
O5;P2, P7;11.00;702507
O5;P2, P7;15.00;893297
O5;P2, P7;12.50;569411
O5;P2, P7;15.50;371394
O5;P2, P7;10.50;801210
O5;P2, P7;10.00;803724
O5;P2, P7;15.00;458118
O5;P2, P7;16.00;948374
O5;P2, P7;13.00;457704
O5;P2, P7;14.50;869772
O5;P2, P7;13.50;324588
O6;P4;16.50;689531
O6;P4;13.50;661884
O6;P4;12.50;41664
O6;P4;12.50;611165
O6;P4;12.50;979465
O6;P4;15.00;102924
O6;P4;12.00;488673
O6;P4;10.00;845569
O6;P4;15.50;854518
O6;P4;13.00;454138
O6;P4;8.00;132904
O6;P4;12.00;702507
O6;P4;8.50;569411
O6;P4;11.50;371394
O6;P4;13.00;221783
O6;P4;15.50;782126
O6;P4;12.00;309015
O6;P4;11.00;142503
O6;P4;11.50;646047
O6;P4;10.00;78938
O6;P4;13.50;458118
O6;P4;14.50;948374
O6;P4;10.50;749313
O6;P4;12.00;869772
O6;P4;9.00;875344
O6;P4;1.00;547194
O6;P4;1.00;433840